licitacao_contrato,id,data,catmat_id,quantidade,unidade,valor_unitario,valor_total,municipio_uasg,municipio_fornecedor,distancia_uasg_fornecedor
0,926798,2022-05-30,445485,840, ,5.35,4494.0,27855,27855,0.0
0,927382,2022-05-04,445485,660, ,12.91,8520.6,41238,44318,188.661
0,929032,2022-06-10,445485,6000, ,8.0,48000.0,97012,4154,1603.68
0,929033,2022-06-10,445485,432, ,8.0,3456.0,97012,4154,1603.68
0,929034,2022-06-10,445485,144, ,8.0,1152.0,97012,4154,1603.68
0,931954,2022-06-10,445485,480, ,10.97,5265.6,93734,93734,0.0
0,933546,2022-06-21,445485,168, ,9.98,1676.64,60011,56995,1454.23
0,933848,2022-06-21,445485,500, ,16.54,49620.0,81051,88013,1454.23
0,933851,2022-06-21,445485,298, ,16.54,29573.5,81051,83275,1454.23
0,933852,2022-06-21,445485,220, ,16.54,21832.8,81051,83275,1454.23
0,933853,2022-06-21,445485,480, ,16.54,47635.2,81051,83275,1454.23
0,933859,2022-06-22,445485,1, ,319163.0,319163.0,49859,63770,1454.23
0,933860,2022-06-22,445485,1, ,319163.0,319163.0,49859,63770,1454.23
0,934936,2022-06-23,445485,84, ,13.36,1122.0,9210,57576,1454.23
0,935481,2022-06-24,445485,600, ,7.79,4674.36,60011,60011,0.0
0,935891,2022-06-24,445485,800, ,7.0,5600.0,9210,9210,0.0
0,936180,2022-06-27,445485,900, ,6.9,6210.0,38490,30872,1454.23
0,939606,2022-06-30,445485,3000, ,8.2,24600.0,25313,35157,1454.23
0,939637,2022-06-29,445485,5000, ,6.99,34950.0,4154,4278,1454.23
0,939640,2022-06-29,445485,1, ,59299.8,59299.8,46337,46337,0.0
0,940061,2022-07-01,445485,2000, ,8.59,17185.0,2550,2550,0.0
0,940081,2022-06-30,445485,500, ,8.99,4495.0,25313,24139,1454.23
0,940299,2022-07-04,445485,3200, ,10.47,33504.0,25216,31054,1454.23
0,940545,2022-07-01,445485,240, ,10.0,2400.0,60011,41238,1454.23
0,940546,2022-07-04,445485,720, ,9.99,7192.8,71510,69671,1454.23
0,940780,2022-06-30,445485,300, ,8.78,2634.0,75353,75353,0.0
0,940783,2022-07-05,445485,700, ,30.0,21000.0,46477,41238,1454.23
0,940784,2022-07-05,445485,300, ,140.0,42000.0,46477,41238,1454.23
0,940785,2022-07-05,445485,100, ,192.0,19200.0,46477,41238,1454.23
0,940786,2022-07-05,445485,265, ,192.0,50880.0,46477,41238,1454.23
0,940787,2022-07-05,445485,30, ,420.0,12600.0,46477,41238,1454.23
0,940788,2022-07-05,445485,5, ,192.0,960.0,46477,41238,1454.23
0,941664,2022-07-01,445485,2000, ,5.89,11785.0,2550,2550,0.0
0,942063,2022-07-05,445485,8613, ,6.2,53400.6,60011,58254,1454.23
0,942064,2022-07-05,445485,2871, ,6.2,17800.2,60011,58254,1454.23
0,943140,2022-06-15,445485,1800, ,7.0,12600.0,17612,17418,1454.23
0,944896,2022-05-10,445485,216, ,12.0,2592.0,97012,4278,1454.23
0,946851,2022-07-14,445485,520, ,11.1,5772.0,2518,2518,0.0
0,946852,2022-07-14,445485,16, ,21.5,344.0,2518,2518,0.0
0,947041,2022-07-04,445485,216, ,15.0,3238.98,93734,90514,1454.23
0,947049,2022-07-13,445485,84, ,14.0,1176.0,93734,97330,1454.23
0,947055,2022-07-13,445485,1, ,65709.8,65709.8,88013,88013,0.0
0,947321,2022-07-07,445485,150, ,8.98,1347.0,35,7315,1454.23
0,948613,2022-07-13,445485,900, ,15.0,13500.0,2291,71072,1454.23
0,949823,2022-07-22,445485,1296, ,7.0,9072.0,97012,6050,1454.23
