codigo,descricao,codigo_grupo
3448,MÁQUINAS DE REBITAR                                                                                                     ,34
3449,MÁQUINAS AUXILIARES PARA MODELAGEM E CORTE DE METAL                                                                     ,34
3450,MÁQUINAS-FERRAMENTA PORTÁTEIS                                                                                           ,34
3455,FERRAMENTAS DE CORTAR PARA MÁQUINAS FERRAMENTA                                                                          ,34
3456,FERRAMENTAS DE CORTE E MODELAGEM DE PEÇAS DE MÁQUINAS.                                                                  ,34
3460,ACESSÓRIOS PARA MÁQUINAS-FERRAMENTAS                                                                                    ,34
3461,ACESSÓRIOS PARA MÁQUINAS AUXILIARES PARA TRABALHO EM METAIS                                                             ,34
3465,GABARITOS E MOLDES DE PRODUÇÃO                                                                                          ,34
3470,"CONJUNTOS, JOGOS E ACESSÓRIOS PARA OFICINA MECÂNICA                                                                     ",34
3510,EQUIPAMENTOS DE LAVANDERIA E LAVAGEM A SECO                                                                             ,35
3520,EQUIPAMENTOS PARA CONSERTO DE CALÇADOS                                                                                  ,35
3530,MÁQUINAS DE COSTURA INDUSTRIAL E OFICINAS MÓVEIS  DE  CONSERTOS EM TECIDOS                                              ,35
3540,MÁQUINAS DE EMBALAR E EMPACOTAR                                                                                         ,35
3541,MAQUINAS INDUSTRIAIS DE VIDRO E CRISTAIS                                                                                ,35
3550,MÁQUINAS REGISTRADORAS AUTOMÁTICAS E MÁQUINAS ACIONADAS  COMFICHAS                                                      ,35
3590,EQUIPAMENTOS DIVERSOS PARA SERVIÇOS PROFISSIONAIS E  COMERCIAIS                                                         ,35
3605,MÁQUINAS E EQUIPAMENTOS PARA PRODUTOS ALIMENTÍCIOS                                                                      ,36
3610,"EQUIPAMENTO PARA IMPRESSÃO, DUPLICAÇÃO E ENCADERNAÇÃO                                                                   ",36
3611,MÁQUINAS INDUSTRIAIS PARA MARCAÇÃO                                                                                      ,36
3615,MÁQUINAS PARA INDÚSTRIA DE POLPA E DE PAPEL                                                                             ,36
3620,MÁQUINAS PARA TRABALHOS EM BORRACHA E PLÁSTICO                                                                          ,36
3625,MÁQUINAS PARA INDÚSTRIAS TÊXTEIS                                                                                        ,36
3630,MÁQUINAS PARA INDÚSTRIAS DE PRODUTOS DE ARGILA E CONCRETO                                                               ,36
3635,MÁQUINAS PARA INDÚSTRIAS DE CRISTAL E VIDRO                                                                             ,36
